y_true,y_pred
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,survive
die,die
die,die
die,die
die,survive
die,survive
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,survive
die,die
die,die
die,die
die,survive
die,survive
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,survive
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,survive
die,die
die,survive
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,survive
die,survive
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,survive
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,die
die,survive
die,die
die,survive
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,survive
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,survive
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
die,die
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,survive
survive,die
survive,die
survive,die
survive,survive
survive,die
survive,die
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,survive
survive,die
survive,survive
survive,die
survive,survive
